행정동코드,생활인구_avg
11470580,13833.95851
11470590,11505.72678
11470600,8513.860977
11470610,4360.640888
11470611,16104.96696
11470620,18737.89436
11470630,13243.0177
11470640,42587.33122
11470650,33299.59533
11470670,18541.58234
11470680,20751.86581
11500510,31501.01445
11500520,22717.54619
11500530,15669.52114
11500535,42043.80802
11500540,47361.90882
11500550,12892.30668
11500560,20109.78742
11500570,17094.19555
11500590,28589.57641
11500591,20105.04291
11500593,26340.94451
11500603,50167.71448
11500604,14733.13249
11500605,10701.80964
11500611,36288.91742
11500615,32658.54189
11500620,37594.4975
11500630,32688.32767
11500640,25274.3926
11500641,17150.76351
11530510,33553.8861
11530520,16715.55898
11530530,33658.69997
11530540,41579.88527
11530550,17911.81128
11530560,32337.68166
11530595,11282.35447
11530720,22531.19949
11530730,17164.90658
11530740,28900.56071
11530750,22240.53053
11530760,17162.18653
11530770,15102.99707
11530780,51063.61223
11530790,22873.02053
11545510,60567.86024
11545610,33679.92061
11545620,14164.50014
11545630,22289.17693
11545640,11444.06165
11545670,28004.70206
11545680,15694.63864
11545690,10466.18
11545700,11813.65044
11545710,11994.14833
11560515,19131.7951
11560535,51891.48677
11560540,95549.47112
11560550,25397.09342
11560560,37706.93472
11560585,14030.94798
11560605,40081.50375
11560610,18814.56557
11560620,29763.79906
11560630,17910.63866
11560650,12872.23414
11560660,7482.527501
11560670,10800.67415
11560680,21659.65988
11560690,13184.59991
11560700,16474.90654
11560710,18423.06857
11560720,25784.53296
11590510,36838.3239
11590520,19128.18737
11590530,46648.10691
11590540,22656.53011
11590550,17693.08935
11590560,20980.16954
11590605,34443.34622
11590620,26022.75416
11590630,32866.35333
11590640,19813.20638
11590650,12197.33154
11590651,11659.29331
11590660,42297.18629
11590670,16457.79115
11590680,24628.87511
11620525,16489.03356
11620545,10814.23881
11620565,22411.38491
11620575,23434.08532
11620585,24762.89947
11620595,39195.36341
11620605,27777.49581
11620615,17161.87868
11620625,25480.52652
11620630,23711.85115
11620645,23034.70296
11620655,16550.98212
11620665,16971.36384
11620685,21048.02444
11620695,30297.24143
11620715,10321.50065
11620725,28589.01799
11620735,34630.58544
11620745,20168.44629
